address,underlyingValue,debt
0x46e8704ccd01f85d43e5a95642c516baf5f4c8dc,150000000000000000,72014089149553611
0x48e80ace64d91fbbf0d980c7b0eef8bee87f8b84,2620000000000000000,1286346651527336698
0x496bed9d440f75f4ac19ea19933131544de1eb38,19046268338932570,-340149299007761443
0x4992b88fcbe6e30d50bd053e1c101ac155df28b4,22010000000000000000,-25474462744703810
0x499d41a04c8cf760d159f9b369f0259d80bdf9fe,6244248923402914,-3339785371044685
0x4a3b4a5c86311a8dcdf1057543ef69d0a710a84f,100000000000000000,49746809908829406
0x4a6b71be9a0d3d76b760b38f6c50cb4d1c798990,440489004115253,-33881327472096
0x4a83020aa1c6778e582abfedfaa6b0ce0805d98f,18811119515660500,-25759285114148588
0x4abb49024d622f9fbd3c46a3a75343ccde37f772,643421336476811300,-11635622123388588
0x4abc33cf81e0d21f42168d044f7002edd6b80b09,7737358602338339000,3303057543748763198
0x4abef426c92c57cb0c8028f6343e18fdd69aa967,178224314915160,87837367786500
0x4b0ca72c5d8cba2805b9cd712be062b40da24c38,11945591081296325000,4408776054664988795
0x4b4d6ac4d00ee2c810dcc2cca41ef437b97f1178,108859731929014940000,53081241069508127093
0x4b70200f46a49150baa0ed2fdb5d537b7b256bf8,5000000000000000000,643808533317869496
0x4c0eb2910bb401b3ba968587800bc5fc94243cdb,200000000000000000,39938216532398418
0x4c6996f712f5ba388c0f2930d05fc8746a2cdb0d,1000000000000000000,495384659900831845
0x4c735d3acba20b72d3d1b11c3cc3ce00377906ae,2160428869790958000,917424084078700477
0x4d7ddc1302b5f824c32b9f1278c701a01e2c5971,975000000000000000,202689295704209508
0x4d818f7f285863d5c9f402142d76b1da3f767325,500000000000000000,-37642085425361263
0x4db5deedd87969227611947f5fbe94753f3aefe2,1000000000000000000,203060553360475913
0x4dd11e20caa90811e5913c97b43e6d77653f9db9,260221635000000000,38951131276472048
0x4dd3374addfb403ac7c641b21dab3541f6260d2c,50000000000000000000,22698372744801770945
0x4dd5f49bcb2670d17e33bd9dc9edab9a40eef8af,19189763209432616,233007388276916
0x4e1a3895bd8cace0764c161f3b11feaf58ac4f00,10836033779027678,2198622803277276
0x4e544b1039eb0e625d230af0fb75ddc9cda34d0e,549951838565502,267983852403118
0x4ec0764084f29c081defc35d4197fda52b16196b,68392171344390630,-1236803035346737
0x4ec9172061c23b2fbba60a4194f4e0806ee02bb3,1350000000000000000,554688201649527220
0x4f339ecffd02414bc6ae130b47ca2796c5000798,1811000000000000000,-32457923306926469
0x4fface9865bdcbc0b36ec881fa27803046a88736,10000000000000000,-195402887275327
0x500a4f1280a0b63f47862d658b6c335cc939aaed,999999999996731,-55086518370657
0x50c6a981b80a72d98af87b626d3dfbe226e7d9e0,35000000000000000000,16958449125851251293
